排名,公司简称,公司全称,城市,行业,行业排名,轮次,最近融资,累计融资额,投资方,简介
474,壹秘,深圳壹秘科技有限公司,1,3,36,A轮,2018,30000000,浩方创投，火山石资本，千乘资本,eMeet是一家移动办公智能助手研发商，基于智能语音算法的技术，按照用户的语音进行各种操作，可以把用户的会议记录整理成文字、播报用户的日程安排等，同时可以播报天气预报和新闻、按照用户的语音指令购物等。
485,华制智能,深圳华制智能制造技术有限公司,1,3,37,B轮,2017,0,达晨创投，北京优惠金控基金管理有限公司，天鹰资本，高榕资本,华制智能是一家提供智能制造解决方案和系统集成的服务商，拥有自主研发的软硬件产品及系统，提供顶层设计、智能工厂、系统集成服务，包括工业数据采集平台、工业物联网平台、智能工厂集成管控平台、三维智能工厂等产品。
19,派友科技,深圳市鲸仓科技有限公司,1,4,1,B轮,2019,303000000,云锋基金，旷视科技，波智高远，金沙江创投，三态股份，金沙江联合资本，深圳前海星汉投资管理合伙企业（有限合伙），百度风投，浩方创投，臻云创投，百度投资，星汉资本，合力投资，云峰资本，博世投资,鲸仓科技是一家智能仓储和物流服务商，致力于帮助电商和零售企业将仓库升级为自动化仓库，提供“智能自动化仓库”解决方案及“免费升级”服务。
59,越疆科技Dobot,深圳市越疆科技有限公司,1,4,2,A+轮,2018,193000000,娱乐工场，道生投资，松禾资本，深圳市创新投资集团有限公司/深创投，同道齐创，希格斯众创，前海母基金，荷多资本，深创投，PreAngel荷多投资，前海方舟资产，道生资本，同伴投资管理,【我们是谁】 深圳市越疆科技有限公司是全球领先的机器人领域技术方案提供商，其核心团队在该领域已潜心研究了近10年，在机器人底层算法、伺服系统、控制系统等方面均取得了突破性进展。越疆科技的核心团队成员均毕业于国内外知名高校，具备同行知名企业工作背景，并两次得到李克强总理的亲自接见。越疆科技被CB Insights评为全球80家最具投资价值的机器人企业之一，是国家高新技术企业、3企业100强。 越疆科技专注于智能硬件产品的研发、生产、销售及服务，覆盖教育、工业、消费各个领域，秉承“成为人类生活第一助手”的美好愿景，越疆科技注重产品的创新和产学研的结合，在教育、工业、消费等领域均具备成熟的产品线，目前拥有DOBOT、独豹、嘟宝特等品牌。越疆科技已获取百余项国际技术专利及各国资质认证，产品市场覆盖一百多个国家及地区。“越疆”二字来自古诗：“越疆必载质，历国将扶危”，寓意用扎实的技术和产品助力民族品牌跨越国界，走向世界 越疆 a. 轻量级机械臂全球技术领导者； b. 全球机械臂最具投资价值前30名； c. 中国3企业前100名； d. 一年半时间先后两次受李克强总理接见； e. 产品畅销全球100多个国家与地区 【我们的合作伙伴】 目前，越疆科技的合作伙伴包括： 1 教育部、清华大学、上海交通大学、山东大学等教育机构； 2 腾讯云、阿里云、德国大众、周大福、雪佛兰等知名企业； 3 央视、人民日报、CES、世界机器人大赛、机器人世界杯等大型媒体或组织。 【我们是什么样的团队】 越疆科技的核心团队成员均毕业于清华大学、山东大学、MIT等国内外知名高校，具备ABB、华为等知名企业工作背景。在短短一年半的时间里，越疆团队就两次被李克强总理亲自接见，并嘱咐“希望你们（越疆科技）继续努力，能够做到全国领先，走向世界”！ 【我们为您提供什么】 a. 完善的福利，富有竞争力的薪资和绩效奖金； b. 自由开放的工作氛围，宽敞明亮的办公环境，灵活自由的工作制度； c. 每月零食供应，不定时下午茶，定期员工活动等； d. 机器人朝阳行业，职业发展前景可观； e. 丰富的培训和员工文化活动； f. 广阔的职业生涯发展通道及晋升机会； g. 与脑洞大开、富有创造力、乐于分享的小哥哥小姐姐共事。
76,因赛INSIGHT,香港视野机器人有限公司,4,4,3,战略投资,2018,151800000,海阔天空创投，AAIC资本，Bright Success Capital，BrizanInvestments，Fresco Capital，Radiant Venture Capital，合力投资，线性资本,香港视野机器人有限公司成立于2009年，视野机器人为用家提供一个集成平台，以监控和管理关键的基础设施和资源。
79,乐森机器人,乐森机器人（深圳）有限公司,1,4,4,A轮,2019,100000000,达晨创投，裕人投资，科大讯飞，招银国际，分享投资,乐森机器人（深圳）有限公司是一家技术与产品驱动的机器人科技公司。主打品牌robosen（乐森）定位于消费类智能服务机器人领域。产品线涵盖变形、人形、机甲等多种形态的智能机器人，面向全球儿童和科技爱好者用户。公司专注于智能机器人超过15年，团队由顶尖极客和发烧友组成，在变形算法，数字电传动，机器人抵近操作、力反馈，伺服舵机，人工关节驱动，肢体语言识别双足步态等多个领域拥有核心技术。2015年至今，公司获得达晨创投、讯飞产投等多家知名投资机构累计过亿元融资。运营总部设于深圳，研发总部在北京，美国设有子公司。查看全部
82,饭来,深圳饭来科技有限公司,1,4,5,A轮,2018,0,上海娅宝方和投资，启赋资本，红杉资本，CGC Master Million Asia,饭来科技是一家烹饪机器人研发商，其主要产品F1，采用了嵌入式微处理器技术、无传感器的异常监控技术，用户可通过配套的饭来专属App一键点菜下锅，机器人自动完成烹饪全过程。
83,EAI科技,深圳玩智商科技有限公司,1,4,6,A轮,2019,34000000,投资方未披露，中科创客学院，泰亚鼎富，西藏众善创投,EAI科技是一家机器人激光雷达传感器及智能移动系统提供商，基于激光雷达及导航算法等技术，目前已形成包括激光雷达、导航模块和移动底盘在内的三大产品矩阵。具体是指EAI Flash Lidar、Pathgo定位导航模块及EAI机器人移动底盘Dashgo。
89,炬星科技,炬星科技（深圳）有限公司,1,4,7,Pre-A轮,2019,38000000,明势资本，真格基金，一苇资本,炬星科技是一家无人物流机器人研发商，主要以单线短距离激光雷达，单色摄像头和 MEMS 惯性测量器作为传感器。采用了分布式控制的方案，多个机器人之间维持一个分布式数据库。
104,优地科技,深圳优地科技有限公司,1,4,8,B轮,2018,60000000,元禾原点，联峰投资，新恒基，科大讯飞，UTStarcom，新恒基投资，君联资本，安徽科大讯飞信息科技股份有限公司,优地科技是一家商用服务机器人研发商，给大型酒楼、医院、住宅物业等商业场所运营者提供迎宾、物流等功能为主的多种无轨驾驶的商用服务机器人。
105,橙子自动化,深圳橙子自动化有限公司,1,4,9,B轮,2018,124750000,信中利资本，经纬中国，祥峰投资，明势资本,橙子自动化是一家工业自动化系统集成服务商，主要提供3C电子领域的柔性自动化生产线、机器人及机器视觉应用调试服务，比如手机自动装配线、手机自动化测试线等。
106,智航无人机,深圳智航无人机有限公司,1,4,10,B轮,2018,90000000,顺丰控股，顺丰速运，厦门稻本，力合清源，清源投资，北极光创投，清研资本,深圳智航无人机有限公司，总部位于深圳南山科技园，是集专业研发，生产，销售为一体的全球领先无人机企业，是国际顶尖的无人机智能飞控系统，高端影视航拍云台，高清图传的开发商及小型无人机应用的系统集成企业。公司依托多年无人机飞行平台的研发和生产背景，并与北京航空航天大学,深圳大学等高校深度合作，在飞行平台的设计，生产，工艺，模具的快速开发等方面取得了一定的成绩，在航空复合材料的生产应用上达到了国际领先的水平。针对市场不同需求，采用多旋翼无人机和固定翼无人机相互结合，其广泛应用于国家生态环境保护，航空摄影测绘，矿产资源勘探，灾情监视，交通巡逻，电力巡线，治安监控，应急减灾，城镇规划等诸多领域。
111,大道智创,深圳市大道智创科技有限公司,1,4,11,A轮,2018,10000000,梅花天使创投，凯泰资本，创新谷,大道智创是一家商用自主巡逻机器人研发商，主要研发和销售巡逻机器人、安保机器人等商用服务型机器人，以视觉定位为主，配合多传感器融合，实现在复杂的环境下自主导航定位、智能控制与避障、智能巡逻等功能。
123,潜行科技,深圳潜行创新科技有限公司,1,4,12,Pre-A轮,2018,35000000,深创投，浩方创投，银杏谷资本，极客天使,潜行科技是一家水下机器人研发商，专注于消费级水下机器人的技术研发，主打产品为民用便携式水下拍摄和探索机器人，能够用于大众娱乐、钓鱼、潜水等消费级市场和海底搜救、水产养殖、水下摄影等专业级市场。
151,智能机器人分拣系统,深圳市三维通机器人系统有限公司,1,4,13,A轮,2019,20000000,中集睿德信，清岩力合创投，天津睿德信资产，松禾资本,智能机器人分拣系统是一个智能物流解决方案提供商，公司以移动机器人及其他智能技术为基础，为行业发展提供整体解决方案。现阶段着力于智能仓储系统及设备、高速分拣系统及设备的研究、开发、生产制造与工程实施。
160,迈步机器人,深圳市迈步机器人科技有限公司,1,4,14,Pre-A轮,2018,30000000,联想创投，泰有基金，联想控股，泰有，2017年4月15日 获得天使轮融资，投资方为：联想创投领投。，联想创投集团，分享投资,迈步机器人是一家医疗康复机器人研发商，专注于研发用于中风患者步态康复的下肢外骨骼机器人以及其他医疗康复机器人。主要产品包括康复机器人、柔性驱动器、医疗机器人、外骨骼机器人康复设备、下肢康复外骨骼机器人等。
180,知伴科技,广州智伴3科技有限公司,2,4,15,A轮,2018,0,王中磊，琴澜鑫管理咨询，苏州境成投资，智圣博管理，苏芒，盈富泰克，领澜投资,广州知伴（ZIB）科技有限公司正式成立于2016年，主要来自于中美研发团队组成，是一家致力于研发、生产与销售一条龙服务的家庭智能机器人互联网公司，通过智能连接家庭，打造家庭社交平台，建立大数据中心。 公司主要从事消费类电子产品及智能终端产品的研发、运营、生产和销售，依托成熟的研发团队，致力发展成为在电子信息技术、网络通讯技术、互联网 智能（软、硬件）技术的高科技消费电子产品领域的领导者，让机器人成为每个家庭都可以消费的终端电子消费品。 在智能语音核心技术研究领域，我司一直秉承“兴趣激发学习”，“用正确的方法、做有用的研究”等核心理念，致力于建立智能语音及语言核心技术和核心技术应用产业化两大方面的竞争力。主营产品有儿童智能陪伴机器人、儿童智能音箱、儿童电话手表、儿童VR产品、儿童智能穿戴设备等针对儿童的智能产品。 在品牌运作方面，采用的是线上线下同步销售与推广，其线上搭建京东、天猫、淘宝、苏宁易购、国美在线、亚马逊、1号店等自营或经销；线下实行区域系统代理商制，终端销售模式以KA渠道、通讯渠道、IT数码渠道、家电卖场、电、幼教渠道、玩具、母婴渠道等，两者辅以各大银行、通讯机构、商旅等积分兑换或买赠合作模式。 作为儿童智能产品公司，我们秉承着”科学评测，数据分析，因材施教，个性培养”理念，为消费者带来更加全方位的产品。目前在知伴旗下的第一代产品儿童智能陪护机器人——伴伴1S，与行业内领军企业科大讯飞、洛可可合作，将于2016年10月份正式上市。 ZIB机器人，主打儿童陪伴，由智伴团队研发完成并推向市场，拥有完全自主知识产权。 如今很多父母忙于工作，无暇陪伴孩子，而主打儿童陪伴这个功能点将成为智能机器人市场的最佳突破口，满足众多家庭的刚性需求。 产品定位2-15岁儿童陪伴 。 伴伴机器人借助前沿3技术，注入“智能陪伴，快乐成长”的理念，为现代社会的孩子提供实时陪伴。 我们在优势上是以多模态交互，具有最完备的理论基础，全面的科学度量模型，利用自然语言处理、机器学习、推荐算法等先进技术，把理论和模型有形化、产品化、服务化，形成了独特的3自适应引擎和互联网云服务，在儿童智能教育领域具有绝对领先地位。
187,玄羽科技,深圳市玄羽科技有限公司,1,4,16,A轮,2018,30000000,清流资本，明势资本，高瓴资本，创势资本，百度风投，前海母基金,玄羽科技是一家智能工厂解决方案供应商，公司以工业大数据及机器学习的技术为基础，结合工业自动化技术，为用户提供应用在3C制造领域的智能工厂解决方案，并且已经成功应用于富士康的iPhone8生产线。
214,马路创新,深圳马路创新科技有限公司,1,4,17,A轮,2018,33000000,,锥能机器人（上海）有限公司是由一群有理想的海归青年们于2015年9月创建的高科技企业。公司致力于开发针对仓储物流行业的各类机器人系统，提供行业级解决方案，帮助客户大幅度提高运营效率，优化人力资源，提升综合竞争力。 公司全自主开发的“马路智能仓储分拣系统”主要应用于电商及零售行业的仓储分拣区内， 利用基于大规模集群调度算法的搬运机器人系统，以“货到人”的模式重新打造分拣逻辑，从而实实在在地为客户带来收益。一经面世，即获得客户的高度认可和市场的广泛好评。目前已完全交付了国内最大的机器人分拣库，技术实力上在同行业内处于绝对领先地位。 - 优化人力成本50-70%，同时降低管理成本 - 提升单人作业效率5-7倍 - 提高仓储面积利用率50% - 项目实施周期快，仅需1-2个月 我们拥有世界一流的算法研发能力（图像3D重建， 机器视觉定位， 机器学习、大数据处理等）、产品实现能力和系统集成能力。马路创新成立以来，已经申请了发明专利8项，实用新型专利6项，外观专利3项，软件著作权2项。 我们的团队集聚了一批来自硬件、软件、运营、市场和投资背景的从国内外名校毕业的年轻精英。主要创始人刘哲在法国攻读博士期间钻研高精度图像3D重建和机器视觉定位， 也曾在阿里巴巴主办的“智慧交通算法大挑战”中获得全国第二名。工作实习期间，曾在日本注册有高真空机械手臂WIPO专利，和多项无人机相关专利（共十多个）。 我们希望在中国走出一条依靠技术研究而发展的创业之路，用科技改变商业，改变世界。
218,科比特航空,深圳市科比特航空科技有限公司,1,4,18,B轮,2017,200000000,深圳市飞星致汇航空技术，深圳市深港通资本管理有限公司，国信弘盛，梅花天使创投，安益资本,深圳市科比特航空科技有限公司（MMC）致力于成为无人机行业应用专家，专业从事多旋翼无人机系统的研发、生产、销售和服务，在北美、深圳、哈工大设立三大研发中心，三位一体构建起分层次、有秩序的研发体系，不断改进现有产品以满足客户需求，同时不断探索创新，构建持续的技术和产品优势。 科比特航空多旋翼无人机广泛应用于电力巡线、电力架线、公安警用、空中侦查、森林防火、应急救援、石化应用、测绘勘探、国土监察、城市规划、农业植保、影视航拍等领域。公司提供专业的电力、公安、消防、石化、农业、航拍等行业服务。此外，依托公司雄厚实力成立的科比特航空学院专注于多旋翼无人机驾驶员的培训服务，为各行业和领域持续输送专业无人机从业人员。 科比特航空的企业精神：至诚、精细、创新；以至诚的态度做好服务，以精细的产品赢得信赖，以不断创新满足客户需求。
219,瑞松科技,广州瑞松智能科技股份有限公司,2,4,19,B轮,2018,207000000,湖北高投，广州金控基金管理有限公司，广发信德，麦苗资本，赛富投资基金，国坤财子金基金，广州西域,瑞松科技是一个工业机器人及智能装备系统研发商，专注于机器人、智能技术及高端智能装备领域产品的研发与应用，致力于为用户提供一整套柔性化、智能化系统整体技术解决方案。
223,未知星球科技,湖南未知星球科技有限公司,1,4,20,天使轮,2018,3000000,,【关于未知星球】未知星球的核心理念是用机器人技术将“虚拟游戏”以“现实的方式呈现”，聚焦产品创意、可玩性和体验感，倡导人与人之间的互动，主要应用于家庭娱乐、线下聚会以及办公减压、教育等场景。未知星球主要成员来自美国宾西法尼亚大学的GRASP机器人实验室以及大疆创新，公司放眼全球高端消费级硬件市场，致力于成为比肩Nintendo、Bandai、Tamiya、Hasbro、DJI等国际顶级科技企业。【什么是“PlanetRacer”】“PlanetRacer体感赛车”是一款“游戏化”的RC精密模型赛车，通过搭载最先进的机器人技术、传感器技术、运动控制技术于桌面级微型小车，融合游戏元素，给用户带来全新有趣的赛车体验。是介于“RC赛车”和“电子游戏”之间的一款全年龄（推荐14+）家庭娱乐、朋友聚会、比赛竞技类产品。【我们是谁？】我们是一群热爱生活，热爱新奇有趣事物，享受工作的梦想青年，这里有来自美国常春藤名校的产品设计师，有来自世界著名机器人实验室的机器人工程师，有来自大疆创新的算法牛人，有技术过硬敢于挑战的嵌入式技术专家，有精通赛车构造的航模专家etc.这里有丰富的技术经验积累：人形机器人，无人机，模块机器人，机器人定位和导航，规划和控制，传感器融合，机器视觉，机器学习......把它们应用在最有趣的产品上。源自“常春藤Party校”宾夕法尼亚大学的“WorkHard,PlayHard”的理念（使劲工作，拼命玩），我们相信玩乐带来的高效学习力和创造力。每周五的神秘“PCTParty”等你来参加！【加入我们！】如果你是一名：“机器人爱好者”、“赛车爱好者”、“模型爱好者”、“极客”“时尚潮人”或者“游戏达人”！如果你想告别茫然而无聊的工作，从事一份真正热爱的事业；如果你身怀绝技，希望能给世界带来不一样的声音：请加入我们吧！这里将是你施展拳脚的绝佳舞台；这里有和你志同道合的爱好者、梦想家、技术大咖与你共同进步；你将获得一份前所未有的产品开发全新体验，和我们一起创造紧张刺激，有趣好玩的新产品，畅销全球！【融资情况】公司于2018年底获得数百万天使轮融资，由知名投资机构XBOTPARK基金领投。XBOTPARK基金是一家专注于机器人及智能硬件领域的创业投资机构，由李泽湘教授，高秉强教授，甘洁教授创立。LP包括红杉、高瓴等顶级基金查看全部
244,深圳微孚智能信息科技有限公司,深圳微孚智能信息科技有限公司,1,4,21,A轮,2018,5500000,深圳市富志达科技，英诺天使基金，国成投资，新恒利达，英诺天使基金跟投,深圳微孚智能信息科技有限公司正式成立于2015年2月，是一家以市场为导向、以技术为核心的科技公司。公司目前已完成Pre-A轮投资，在20个月内估值翻了20倍。微孚智能以改变世界探索海洋方式为愿景，坚持技术创新、自主研发，致力于成为世界顶级的水下影像系统解决方案的国际化企业。 公司团队在无人机、机器人、IT领域拥有多年的研发技术积累和生产经验。公司自主研发了具有国际领先水平的消费级无线高清图像传输系统，核心技术在国内同行企业中处于领先地位，并与数十家国内外知名同行及无人机技术应用单位保持着良好的合作关系。 公司从事无人机模块的研发、生产、销售，并提供软硬件技术解决方案，用最先进的技术、优质的服务帮助合作公司提高生产效率、提升其客户体验、打造更有市场竞争力的飞行器产品。 团队成员是来自TP-link、华为等国内顶尖智能硬件公司富有经验的从业者和来自西工大、电子科大、国防科大、中山大学等一流大学的博硕学士，在智能机器人与无人机方面有多年的积累，对科技和创新充满探索热情。 我们推崇简单、高效、务实的工作方式，扁平化的公司管理风格，在平等、轻松、快乐、积极的工作环境中创造和分享，享受科技乐趣。 公司福利：业内具有竞争力的薪酬福利体系；期权激励；弹性工作时间；五险一金；饮料零食水果无限量供应；健身房；不定期团建旅游等
258,熵智科技,熵智科技（深圳）有限公司,1,4,22,天使轮,2018,10000000,远望资本，松禾资本,熵智是一家专注于视觉和运动控制的机器人AI公司，团队的主要成员来自清华大学，浙江大学，华中科技大学等著名高校。并拥有3名来自机器人领域的博士，理论功底扎实，工程经验丰富。围绕机器视觉（3D，2D），机器人控制（自主运动规划，抓取，移动）以及深度学习做了大量的基础研究。目前已获得千万投资 已获得知名投资商松禾资本和远望资本的联合千万元投资； http://36kr.com/p/5128180.html 有关技术方向进一步背景： https://xw.qq.com/cmsid/20180412G0836900
277,HITBOT,慧灵科技（深圳）有限公司,1,4,23,A轮,2018,30000000,唯嘉资本，赛智创投，顺为资本，责厚投资，创世伙伴资本，极星资本,慧灵科技是一家机器人末端执行器及桌面级机械臂研发商。从电机设计、编码器设计、伺服控制、本体设计到运动控制，实现碰撞监测、拖动示教、模块化组装，主要产品有：电动手爪、直流无刷伺服系统、水平关节机器臂。
289,盛空科技,深圳市盛空科技有限公司,1,4,24,A轮,2018,30000000,中海投资，明势资本，紫牛基金，顺为资本，发现创投,盛空科技是一家无人机实时监测拦截系统研发商，致力于工业级测绘无人机的研发与生产。通过无人机拦截系统，可以有效防止无人机入侵涉密空域场所，可以使其驱离或迫降。现应用于电力巡线、国土测绘、消防救援、管道巡线等领域。
302,PerceptIn普思英察,深圳普思英察科技有限公司,1,4,25,B轮,2017,94840000,三星风投，华登国际，金蝶国际，金蝶软件，华登国际投资，TEECAngelFund，清谷资本，经纬中国，SamsungVentures三星,Perceptln普思英察是一家3领域初创公司，致力于为机器人提供完全基于视觉的SLAM解决方案，提供手机芯片处理、单目摄像头SLAM等低成本、算法提升精确度的方案，主要用于扫地机器人、车载ADAS等产品。
307,睿瀚医疗,深圳睿瀚医疗科技有限公司,1,4,26,Pre-A轮,2018,38000000,西高投，上海众合创业投资中心，睿达投资，众合创投，青锐创投，睿鼎资本,深圳睿瀚医疗科技有限公司成立于2016年5月，是一家致力于研发、生产、销售高科技智能康复机器人的高端智能制造公司，公司的前身是一只成立了2年以上并以国家香江学者为主，汇聚了多位专业博士人才共同组建的中风康复机器人专业研发团队。公司深耕中风康复机器人领域，针对国内中风病人手部康复领域产品稀缺的状况，公司自主研发了“睿瀚I、 II 、III型”三大类手部康复机器人产品，目前已申请了国家发明、实用新型、外观等近十项专利，填补了国内手部康复领域的诸多技术空白，其部分产品也成功进入国内数十家权威临床医疗机构试用； 公司采用国际最前沿康复理念与技术，目标是打造全球康复机器人的口碑品牌，立足中国，着眼全球。未来，公司的产品将覆盖中风病人的手部、上肢、下肢的整个康复领域，公司秉持“世界，你好 hello the world”的康复口号，期望每位中风病人通过使用睿瀚产品的持续康复治疗，拥有一个健康全新的世界。
319,普渡科技,深圳市普渡科技有限公司,1,4,27,A轮,2018,50000000,榕泉资本，长盈精密，深圳启创资本,公司简介： 普渡科技专注于智能配送机器人的研发，是一家高速成长的机器人和3公司。 普渡科技的创始团队背景处于行业领先水平，成员拥有多年机器人研究和从业经历，分别来自于香港科技大学、清华大学、香港中文大学、香港大学、中科院、中科大等顶尖高校和华为、腾讯、阿里巴巴、美团点评、大疆、西门子等著名公司。 普渡科技的核心技术包括计算机视觉、机器人自主定位导航、多机器人协作、自动驾驶、机器人电机及电机驱动、机械臂设计及运动控制、机器人通用底盘、人机交互等，目前已拥有近百项专利（以发明专利为主）。 普渡科技的配送机器人产品覆盖了室内、楼宇、园区、室外等各种应用场景以及餐饮、酒店、快递、外卖、物流仓储等多个垂直行业的智能配送服务。 公司的第一款产品欢乐送机器人荣获了2017年德国红点最佳设计奖、设计能力和产品能力得到了国际认可，欢乐送已实现量产销售，客户分布于全国大部分省市以及众多海外国家；此外普渡还有几款机器人新产品将于2018年陆续上市。 公司网站：http://www.pudutech.com 企业文化： 在忙碌浮躁的时代下，普渡奉行简洁实效的产品及企业文化，实行扁平化管理。我们希望做真实的自己，做热爱的工作。具体如下： 1、发明家精神 2、以用户为中心 3、用第一原理思考 4、追求极致 5、快速发展 6、开放 7、拥抱变化 福利待遇： 1、提供同行业极富竞争力的薪酬待遇，优秀员工每年将有2次调薪机会，更可获得高达6个月的年终奖激励。 2、入职即购买五险一金，享受5-15天的法定带薪年假及1-10天的奖励年假。 3、入职满半年以上员工，每年度由公司安排一次免费健康体检。 4、弹性工作时间，灵活考勤，每月设有全勤奖励。 5、每月团建活动、每月生日会、年度旅游、节日礼品发放。
351,力子机器人,深圳力子机器人有限公司,1,4,28,Pre-A轮,2018,38500000,点亮资本，科大智能,力子机器人是一家工业工程车辆自动驾驶解决方案提供商，通过对手动电动叉车加装导航传感器、车载导航控制箱、安全防护模块、升降控制模块等相关装置，来实现叉车的自动驾驶功能。旗下主要产品包括堆垛式自动叉车、三向及前移式自动叉车、平衡重自动叉车、托盘搬运式自动叉车等。
387,吉特科技,广州市吉特科技有限公司,2,4,29,B轮,2017,3000000,乾明天使投资基金，易一天使投资，创新谷，顺为资本，老鹰基金,广州市吉特科技有限公司创立于2015年，总部位于广东广州，是一家致力于运用3、机器人视觉感知识别等前沿技术以机器人为载体为各类物流企业、电商企业、供应链仓储企业等行业客户提供一站式高效、智能解决方案的高科技公司。公司技术团队实力雄厚，核心成员由世界顶尖科学家、研究所博士后、国外名校海归博士、硕士组成，涵盖技术力量包括软硬件IT、机械自动化设计、仓储物流技术等，并拥有丰富的研究和实践经验，已取得多项发明专利、实用新型专利、软件著作权等核心知识产权。公司已获多家知名投资机构和一线基金投资并已与多家知名大型企业客户展开合作，现在高速发展的路上。我们是一个执着于梦想的年轻创业团队，期待您的加入共创事业、共同成长，一起打造更好的明天。 公司网站：http://www.kiktech.com.cn
395,启玄科技,深圳市启玄科技有限公司,1,4,30,天使轮,2018,15000000,深创投，松禾资本,启玄科技是一家柔性机器人制造商，其主要产品有三款，分别是MetaA、MetaK、MetaX，其产品具有高灵活性、可变形性和能量吸收特性等特点，对环境具有较强的适应性。
423,慧昱科教,深圳慧昱教育科技有限公司,1,4,31,A轮,2017,131000000,愿景资本，海尔资本，宜华资本，富士康，英诺天使基金，产品研发成果获得赛富复兴合伙人天使轮融资，北京运胜基金，获得由数家著名风投机构合投的数千万投资，运胜投资,慧昱科教公司简介： 慧昱教育科技有限公司（以下简称“慧昱科教”）成立于2014年，现有员工60多人，是一家专业从事幼儿启蒙教育的科技公司。作为国內首家同时兼备机器人和幼儿园AR课程自主研发的高新技术企业，专注于0-8岁儿童教育机器人研发和销售，致力于用现代化的科技弘扬中华文化，以内容为核心，科技为辅助来开发市场，从而让孩子爱上学习。 公司的核心团队都是80后，身兼教育从业者和家长双重身份，更能充分了解孩子的需求并提出解决方案。慧昱科教特聘请了多名儿童教育专家及幼儿园园长和北京师范大学教授作为公司课程的技术顾问。 2016年推出了Honeybot小哈早教机器人、小哈学画画和小哈学英语等AR幼儿课程，小哈机器人拥有AR课程学习、行走监控、习惯养成、大数据分析等功能，是开放式的早教智能平台。为此，来自世界五百强科技企业和北师大教育专家的机器人研发团队及课程研发团队正职不断努力沟通生态系统。 ——百年只做一件事，让科技改变教育。
449,子歌教育,子歌晓曼教育机器人（深圳）有限公司,1,4,32,B轮,2018,30000000,智慧树，达内集团，龙在投资,子歌教育机人（深圳）有限公司致力用科技实现k12儿童教育拓展。致力成为全球领先的教育内容和科技相结合的儿童教育公司。由前google高管组成的核心团队+顶级机器人制作团队+全球顶级教育内容合作方资源。
452,多翼科技,深圳市多翼创新科技有限公司,1,4,33,A轮,2017,17000000,正中投资集团,l 致力于为行业大客户提供基于“IoT + AI”技术的自动化运检产品与无人化解决方案 l 技术实力业内顶尖，核心研发团队来自中美两国著名企业和高校，拥有豪华专家顾问团队 l 市场能力业内顶尖，业务已落地，处于高速增长阶段 l 深圳市孔雀计划引进 l 国家高新科技企业 l 获得数千万风险投资和政府资金支持
466,Dexta Robotics,深圳岱仕科技有限公司,1,4,34,天使轮,2018,30000000,欣旺达，磐谷创投，欣旺达等,Dexta Robotics由一伙热爱机器人的工程师们建立。团队的核心人员来自剑桥大学，清华大学，斯坦福大学，加州大学，宾夕法尼亚大学等高等学府。公司早期设计生产过多指灵巧手系统，多轴机械臂控制系统，力反馈外骨骼系统等机器人产品。目前公司的重心在利用机器人技术解决人们在增强现实，虚拟现实和混合现实中（AR，VR，MR）和虚拟三维物体的交互问题。其旗舰产品Dexmo，带有力反馈的动作捕捉手部外骨骼（触感手套），是市面上第一个也是集成度，品牌认可度最高的虚力反馈手套。曾获得联合国创新奖，Reddot，iF等国际产品工业设计大奖。目前客户包括美国的NASA，Facebook，Google, Microsoft, Apple,日本的Sony, 中国的中国航天局, 国家电网等；产品名声遍及英国剑桥，牛津，美国斯坦福，伯克利，CMU，MIT，哈佛等高校的虚拟现实研究所。
494,艾唯尔科技,深圳市艾唯尔科技有限公司,1,4,35,A轮,2017,60000000,东方富海，华讯方舟,艾唯尔科技有限公司，以研发，销售手机、智能机器人、智能产品为主营业务，我们依赖强大的技术资源和稳定的客户资源，致力于日本市场的开拓，并不断拓展欧美等高端市场的销售渠道，打造国际化品牌。艾唯尔是目前国内唯一一家将自主研发的智能机器人打入日本服务领域的企业。 我们秉承为客户创造价值、为员工创造价值的品牌理念，在坚守诚信、责任心、正能量的企业文化引领下，创建了一个热爱科技，喜欢钻研，勇于挑战的年轻化团队。我们充满激情，不断创新不断突破。以打造新时代高品质的生活体验为目标，通过探索与创造节省人力的智能产品，使科技真正地融入生活，改变生活。
45,联新科技,深圳市联新移动医疗科技有限公司,1,5,1,C轮,2019,305000000,源星资本，中金智德，深圳融信汇资本，中金祺智投资，高特佳投资,联新移动医疗是一家智慧医疗整体解决方案提供商，依托ICT技术和互联网技术，打造了“医互通”平台，为医院、医生、护士提供移动医疗智能硬件产品、应用软件产品以及移动临床整体解决方案，产品涵盖移动护理、智能用药、院内即时通讯、设备管理、生命体征采集等多个领域。
